obs_id,Task,Duration_sec
1,WaitTimeOrder,69.32
2,WaitTimeOrder,53.82
3,WaitTimeOrder,3.79
4,WaitTimeOrder,6.45
5,WaitTimeOrder,8.42
6,WaitTimeOrder,0.00
7,WaitTimeOrder,0.00
8,WaitTimeOrder,80.11
9,WaitTimeOrder,32.41
10,WaitTimeOrder,41.84
1,OrderingTime,29.22
2,OrderingTime,25.31
3,OrderingTime,17.21
4,OrderingTime,29.30
5,OrderingTime,22.10
6,OrderingTime,12.56
7,OrderingTime,85.83
8,OrderingTime,66.83
9,OrderingTime,25.00
10,OrderingTime,21.46
1,PayingTime,9.95
2,PayingTime,5.82
3,PayingTime,7.74
4,PayingTime,10.54
5,PayingTime,8.00
6,PayingTime,10.67
7,PayingTime,25.22
8,PayingTime,17.23
9,PayingTime,13.37
10,PayingTime,50.16
1,FoodPrepTime,134.30
2,FoodPrepTime,25.93
3,FoodPrepTime,90.71
4,FoodPrepTime,15.20
5,FoodPrepTime,48.84
6,FoodPrepTime,72.36
7,FoodPrepTime,118.57
8,FoodPrepTime,187.38
9,FoodPrepTime,34.10
10,FoodPrepTime,72.16
1,DrinkPrepTime,48.18
2,DrinkPrepTime,88.72
3,DrinkPrepTime,134.95
4,DrinkPrepTime,55.21
5,DrinkPrepTime,48.49
6,DrinkPrepTime,130.94
7,DrinkPrepTime,66.83
8,DrinkPrepTime,54.30
9,DrinkPrepTime,97.92
10,DrinkPrepTime,72.78
1,DeliveryTime,1.48
2,DeliveryTime,15.82
3,DeliveryTime,5.12
4,DeliveryTime,6.52
5,DeliveryTime,3.28
6,DeliveryTime,4.56
7,DeliveryTime,10.29
8,DeliveryTime,3.19
9,DeliveryTime,7.92
10,DeliveryTime,11.49